route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
172X,1,offpeak,29.75087299,4,124539.379254319
172X,1,all_day,29.75087299,4,124539.379254319
5965,1,offpeak,22.76581967,8,17668.9879494059
5965,1,all_day,22.76581967,8,17668.9879494059
5965,0,offpeak,20.5752759,8,18608.6945134305
5965,0,peak,23.09794378,8,18608.6945134305
5965,0,all_day,21.02285747,8,18608.6945134305
11,1,offpeak,6.45977624,4,3679.71484503824
11,1,peak,8.79233737,4,3679.71484503824
11,1,all_day,7.84775518,4,3679.71484503824
11,0,offpeak,9.01949825,4,5259.771439971
11,0,peak,9.5892929,4,5259.771439971
11,0,all_day,9.36182345,4,5259.771439971
4,1,offpeak,11.91456,7,17081.344957039
4,1,peak,11.03127613,7,17081.344957039
4,1,all_day,11.50391526,7,17081.344957039
561,1,offpeak,53.16582654,9,120660.510243722
561,1,all_day,53.16582654,9,120660.510243722
561,0,peak,52.6039044,9,127336.378241555
561,0,all_day,52.6039044,9,127336.378241555
f51d601d-4df7-4054-8c39-b44536d9c734,0,offpeak,24.21029009,3,38702.4978337963
f51d601d-4df7-4054-8c39-b44536d9c734,0,all_day,24.21029009,3,38702.4978337963
52,1,offpeak,23.00538571,7,21707.0137232031
52,1,peak,15.28137678,7,21707.0137232031
52,1,all_day,15.81007743,7,21707.0137232031
2B,0,offpeak,12.63841053,4,15806.1708106721
2B,0,peak,13.02108365,4,15806.1708106721
2B,0,all_day,12.83466571,4,15806.1708106721
a76f7f34-9287-4ce9-bda1-7fdc66130e09,0,offpeak,14.60069428,3,23131.596445626
a76f7f34-9287-4ce9-bda1-7fdc66130e09,0,peak,13.81037833,3,23131.596445626
a76f7f34-9287-4ce9-bda1-7fdc66130e09,0,all_day,14.18059389,3,23131.596445626
76756,1,offpeak,16.40356218,9,12472.781822214
76756,1,peak,17.9099492,9,12472.781822214
76756,1,all_day,17.1274234,9,12472.781822214
76756,0,offpeak,15.87401974,9,5846.16430457186
76756,0,peak,12.39389091,9,5846.16430457186
76756,0,all_day,13.95968878,9,5846.16430457186
1691,0,offpeak,12.99960312,7,31929.0684303653
1691,0,peak,13.09769122,7,31929.0684303653
1691,0,all_day,13.04399693,7,31929.0684303653
3432,0,peak,20.19055736,3,40394.1118487211
3432,0,all_day,20.19055736,3,40394.1118487211
3432,1,offpeak,26.81032299,3,39322.2230474787
3432,1,all_day,26.81032299,3,39322.2230474787
16613,0,offpeak,12.98756177,10,6760.03035934995
